OrderID,OrderDate,PostcodeDistrict,AreaGroup,OrderType,Plan,Product,UnitPrice,Quantity,Revenue,DeliverySlot,OnTime,Fulfilled
19,18-03-2025,E14,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
20,18-03-2025,E9,Hackney-BethnalGreen,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
21,18-03-2025,E3,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
22,19-03-2025,E3,Docklands,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
23,19-03-2025,E6,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
24,19-03-2025,IG11,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
25,19-03-2025,IG6,Ilford-Redbridge,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
26,19-03-2025,E16,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
27,19-03-2025,IG1,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
28,19-03-2025,IG6,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
29,19-03-2025,IG11,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
30,19-03-2025,E14,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
31,20-03-2025,IG1,Ilford-Redbridge,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
32,20-03-2025,E1,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
33,20-03-2025,E10,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
34,20-03-2025,E8,Hackney-BethnalGreen,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes
35,20-03-2025,IG11,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
36,20-03-2025,E14,Docklands,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,No,Yes
37,20-03-2025,IG11,Ilford-Redbridge,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes
38,20-03-2025,IG2,Ilford-Redbridge,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
39,20-03-2025,E3,Docklands,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
40,20-03-2025,E1,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Evening,Yes,Yes
41,20-03-2025,IG1,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Evening,Yes,Yes
42,20-03-2025,IG3,Ilford-Redbridge,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
43,20-03-2025,E9,Hackney-BethnalGreen,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes
44,20-03-2025,IG1,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
45,21-03-2025,E3,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,No,Yes
46,21-03-2025,E6,Stratford-EastHam,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Evening,Yes,Yes
47,21-03-2025,IG1,Ilford-Redbridge,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
48,21-03-2025,E13,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
49,21-03-2025,RM6,Barking-Dagenham,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
50,21-03-2025,E13,Stratford-EastHam,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
51,21-03-2025,E3,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
52,21-03-2025,E10,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
53,22-03-2025,E13,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
54,22-03-2025,E11,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
55,22-03-2025,E7,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,No,Yes
56,22-03-2025,E13,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,No,Yes
57,22-03-2025,RM8,Barking-Dagenham,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,No,Yes
58,22-03-2025,IG3,Ilford-Redbridge,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
59,22-03-2025,IG4,Ilford-Redbridge,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
60,22-03-2025,E13,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
61,23-03-2025,E2,Hackney-BethnalGreen,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
62,23-03-2025,E16,Docklands,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,No,Yes
63,23-03-2025,IG11,Ilford-Redbridge,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,No,Yes
64,23-03-2025,RM6,Barking-Dagenham,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Evening,No,Yes
65,24-03-2025,IG2,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
66,24-03-2025,E7,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
67,24-03-2025,IG6,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
68,24-03-2025,E13,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
69,24-03-2025,IG6,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
70,24-03-2025,E10,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Evening,Yes,Yes
71,25-03-2025,IG11,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
72,25-03-2025,E14,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
73,25-03-2025,IG6,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
74,25-03-2025,E16,Docklands,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
75,25-03-2025,IG2,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Evening,Yes,Yes
76,25-03-2025,E3,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes
77,25-03-2025,RM8,Barking-Dagenham,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
78,25-03-2025,E16,Docklands,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes
79,26-03-2025,E16,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Evening,Yes,Yes
80,26-03-2025,E10,Stratford-EastHam,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Evening,Yes,Yes
81,26-03-2025,E14,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,No,Yes
82,26-03-2025,E14,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
83,26-03-2025,RM6,Barking-Dagenham,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,No,Yes
84,26-03-2025,E1,Docklands,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
85,26-03-2025,RM9,Barking-Dagenham,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
86,26-03-2025,E12,Stratford-EastHam,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
87,26-03-2025,E14,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
88,27-03-2025,E9,Hackney-BethnalGreen,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
89,27-03-2025,E2,Hackney-BethnalGreen,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
90,27-03-2025,IG4,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
91,27-03-2025,E11,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes
92,27-03-2025,E1,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
93,27-03-2025,E11,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
94,27-03-2025,E13,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
95,27-03-2025,E9,Hackney-BethnalGreen,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Evening,Yes,Yes
96,27-03-2025,IG3,Ilford-Redbridge,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
97,27-03-2025,E10,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
98,28-03-2025,IG11,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
99,28-03-2025,E6,Stratford-EastHam,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
100,28-03-2025,E12,Stratford-EastHam,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
101,28-03-2025,E8,Hackney-BethnalGreen,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
102,28-03-2025,E1,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
103,28-03-2025,IG2,Ilford-Redbridge,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
104,28-03-2025,RM9,Barking-Dagenham,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
105,29-03-2025,IG4,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
106,29-03-2025,E3,Docklands,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes
107,29-03-2025,E9,Hackney-BethnalGreen,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
108,29-03-2025,E8,Hackney-BethnalGreen,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
109,30-03-2025,E1,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes
110,30-03-2025,IG6,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
111,30-03-2025,RM9,Barking-Dagenham,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
112,30-03-2025,IG4,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
113,30-03-2025,IG11,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
114,30-03-2025,E16,Docklands,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes
115,31-03-2025,E3,Docklands,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
116,31-03-2025,E2,Hackney-BethnalGreen,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
117,31-03-2025,E11,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
118,31-03-2025,E7,Stratford-EastHam,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
119,31-03-2025,E16,Docklands,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
120,31-03-2025,E16,Docklands,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
121,31-03-2025,E9,Hackney-BethnalGreen,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
122,31-03-2025,E14,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
123,31-03-2025,E11,Stratford-EastHam,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
124,31-03-2025,RM9,Barking-Dagenham,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes
125,31-03-2025,E10,Stratford-EastHam,Subscription,Elevate,Elevate,39.75,1,39.75,Evening,Yes,Yes
126,31-03-2025,E14,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
127,01-04-2025,E16,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
128,01-04-2025,E13,Stratford-EastHam,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
129,01-04-2025,IG3,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
130,01-04-2025,E11,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
131,01-04-2025,E6,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
132,01-04-2025,E1,Docklands,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
133,02-04-2025,IG6,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes
134,02-04-2025,E3,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
135,02-04-2025,E10,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
136,02-04-2025,E8,Hackney-BethnalGreen,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
137,02-04-2025,E12,Stratford-EastHam,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
138,02-04-2025,E12,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
139,02-04-2025,IG1,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
140,03-04-2025,E2,Hackney-BethnalGreen,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes
141,03-04-2025,RM6,Barking-Dagenham,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,No,Yes
142,03-04-2025,IG6,Ilford-Redbridge,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
143,03-04-2025,E1,Docklands,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
144,03-04-2025,E10,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Evening,Yes,Yes
145,03-04-2025,E10,Stratford-EastHam,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,No,Yes
146,03-04-2025,E7,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
147,03-04-2025,E8,Hackney-BethnalGreen,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
148,03-04-2025,RM6,Barking-Dagenham,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
149,03-04-2025,E16,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
150,03-04-2025,E11,Stratford-EastHam,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Evening,Yes,Yes
151,03-04-2025,E2,Hackney-BethnalGreen,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
152,04-04-2025,E3,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
153,04-04-2025,E13,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
154,04-04-2025,E8,Hackney-BethnalGreen,Subscription,Elevate,Elevate,39.75,1,39.75,Evening,Yes,Yes
155,05-04-2025,E10,Stratford-EastHam,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
156,05-04-2025,E16,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Evening,Yes,Yes
157,05-04-2025,E14,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes
158,05-04-2025,IG1,Ilford-Redbridge,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
159,05-04-2025,E8,Hackney-BethnalGreen,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
160,05-04-2025,RM6,Barking-Dagenham,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
161,05-04-2025,E12,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
162,05-04-2025,RM6,Barking-Dagenham,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
163,06-04-2025,IG6,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
164,06-04-2025,RM9,Barking-Dagenham,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
165,06-04-2025,IG1,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,No,Yes
166,06-04-2025,E8,Hackney-BethnalGreen,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
167,06-04-2025,E14,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
168,06-04-2025,RM6,Barking-Dagenham,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
169,06-04-2025,E12,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
170,06-04-2025,IG4,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Evening,Yes,Yes
171,06-04-2025,E11,Stratford-EastHam,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
172,06-04-2025,IG3,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
173,06-04-2025,E6,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,No,Yes
174,06-04-2025,E3,Docklands,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes
175,06-04-2025,IG11,Ilford-Redbridge,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
176,07-04-2025,IG3,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
177,07-04-2025,IG11,Ilford-Redbridge,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
178,07-04-2025,IG11,Ilford-Redbridge,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
179,07-04-2025,IG4,Ilford-Redbridge,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
180,07-04-2025,IG4,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
181,07-04-2025,E10,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes
182,08-04-2025,E1,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
183,08-04-2025,E9,Hackney-BethnalGreen,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,No,Yes
184,08-04-2025,RM9,Barking-Dagenham,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
185,08-04-2025,IG4,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
186,08-04-2025,E7,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes
187,08-04-2025,E3,Docklands,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
188,08-04-2025,IG6,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,No,Yes
189,08-04-2025,E10,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
190,09-04-2025,E13,Stratford-EastHam,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
191,09-04-2025,IG3,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
192,09-04-2025,IG2,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Evening,Yes,Yes
193,09-04-2025,RM9,Barking-Dagenham,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes
194,09-04-2025,E11,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
195,09-04-2025,IG1,Ilford-Redbridge,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,No,Yes
196,09-04-2025,E14,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
197,09-04-2025,E6,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Evening,Yes,Yes
198,09-04-2025,IG6,Ilford-Redbridge,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
199,09-04-2025,E12,Stratford-EastHam,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes
200,09-04-2025,E10,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
201,09-04-2025,IG1,Ilford-Redbridge,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
202,10-04-2025,E11,Stratford-EastHam,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,No,Yes
203,10-04-2025,E1,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
204,10-04-2025,E16,Docklands,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes
205,10-04-2025,E11,Stratford-EastHam,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Evening,Yes,Yes
206,10-04-2025,E3,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
207,11-04-2025,E1,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
208,11-04-2025,IG3,Ilford-Redbridge,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
209,11-04-2025,E16,Docklands,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
210,11-04-2025,E9,Hackney-BethnalGreen,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
211,11-04-2025,E1,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes
212,11-04-2025,E13,Stratford-EastHam,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Evening,Yes,Yes
213,11-04-2025,IG4,Ilford-Redbridge,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes
214,11-04-2025,E9,Hackney-BethnalGreen,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Evening,Yes,Yes
215,12-04-2025,IG1,Ilford-Redbridge,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Evening,No,Yes
216,12-04-2025,IG2,Ilford-Redbridge,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes
217,12-04-2025,E1,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes
218,12-04-2025,IG6,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
219,12-04-2025,IG2,Ilford-Redbridge,Subscription,Everjoy,Everjoy,18.99,1,18.99,Evening,Yes,Yes
220,12-04-2025,E12,Stratford-EastHam,Subscription,Elevate,Elevate,39.75,1,39.75,Evening,Yes,Yes
221,12-04-2025,E9,Hackney-BethnalGreen,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes
222,12-04-2025,E12,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes
