OrderID,OrderDate,PostcodeDistrict,AreaGroup,OrderType,Plan,Product,UnitPrice,Quantity,Revenue,DeliverySlot,OnTime,Fulfilled,PrePostPilot,IsSubscription,IsEvening,IsOnTime,Month
39,2025-03-20,E3,Docklands,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
40,2025-03-20,E1,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Evening,Yes,Yes,Pre-Pilot,0,1,1,2025-03
41,2025-03-20,IG1,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Evening,Yes,Yes,Pre-Pilot,0,1,1,2025-03
42,2025-03-20,IG3,Ilford-Redbridge,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
43,2025-03-20,E9,Hackney-BethnalGreen,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
44,2025-03-20,IG1,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
45,2025-03-21,E3,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,No,Yes,Pre-Pilot,0,0,0,2025-03
46,2025-03-21,E6,Stratford-EastHam,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Evening,Yes,Yes,Pre-Pilot,0,1,1,2025-03
47,2025-03-21,IG1,Ilford-Redbridge,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
48,2025-03-21,E13,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
49,2025-03-21,RM6,Barking-Dagenham,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
50,2025-03-21,E13,Stratford-EastHam,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
51,2025-03-21,E3,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
52,2025-03-21,E10,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
53,2025-03-22,E13,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
54,2025-03-22,E11,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
55,2025-03-22,E7,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,No,Yes,Pre-Pilot,1,0,0,2025-03
56,2025-03-22,E13,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,No,Yes,Pre-Pilot,1,0,0,2025-03
57,2025-03-22,RM8,Barking-Dagenham,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,No,Yes,Pre-Pilot,0,0,0,2025-03
58,2025-03-22,IG3,Ilford-Redbridge,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
59,2025-03-22,IG4,Ilford-Redbridge,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
60,2025-03-22,E13,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
61,2025-03-23,E2,Hackney-BethnalGreen,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
62,2025-03-23,E16,Docklands,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,No,Yes,Pre-Pilot,0,0,0,2025-03
63,2025-03-23,IG11,Ilford-Redbridge,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,No,Yes,Pre-Pilot,0,0,0,2025-03
64,2025-03-23,RM6,Barking-Dagenham,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Evening,No,Yes,Pre-Pilot,0,1,0,2025-03
65,2025-03-24,IG2,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
66,2025-03-24,E7,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
67,2025-03-24,IG6,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
68,2025-03-24,E13,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
69,2025-03-24,IG6,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
70,2025-03-24,E10,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Evening,Yes,Yes,Pre-Pilot,0,1,1,2025-03
71,2025-03-25,IG11,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
72,2025-03-25,E14,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
73,2025-03-25,IG6,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
74,2025-03-25,E16,Docklands,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
75,2025-03-25,IG2,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Evening,Yes,Yes,Pre-Pilot,0,1,1,2025-03
76,2025-03-25,E3,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes,Pre-Pilot,1,1,1,2025-03
77,2025-03-25,RM8,Barking-Dagenham,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
78,2025-03-25,E16,Docklands,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
79,2025-03-26,E16,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Evening,Yes,Yes,Pre-Pilot,1,1,1,2025-03
80,2025-03-26,E10,Stratford-EastHam,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Evening,Yes,Yes,Pre-Pilot,0,1,1,2025-03
81,2025-03-26,E14,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,No,Yes,Pre-Pilot,1,0,0,2025-03
82,2025-03-26,E14,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
83,2025-03-26,RM6,Barking-Dagenham,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,No,Yes,Pre-Pilot,0,0,0,2025-03
84,2025-03-26,E1,Docklands,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
85,2025-03-26,RM9,Barking-Dagenham,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
86,2025-03-26,E12,Stratford-EastHam,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
87,2025-03-26,E14,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
88,2025-03-27,E9,Hackney-BethnalGreen,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
89,2025-03-27,E2,Hackney-BethnalGreen,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
90,2025-03-27,IG4,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
91,2025-03-27,E11,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes,Pre-Pilot,1,1,1,2025-03
92,2025-03-27,E1,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
93,2025-03-27,E11,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
94,2025-03-27,E13,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
95,2025-03-27,E9,Hackney-BethnalGreen,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Evening,Yes,Yes,Pre-Pilot,0,1,1,2025-03
96,2025-03-27,IG3,Ilford-Redbridge,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
97,2025-03-27,E10,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
98,2025-03-28,IG11,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
99,2025-03-28,E6,Stratford-EastHam,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
100,2025-03-28,E12,Stratford-EastHam,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
101,2025-03-28,E8,Hackney-BethnalGreen,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
102,2025-03-28,E1,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
103,2025-03-28,IG2,Ilford-Redbridge,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
104,2025-03-28,RM9,Barking-Dagenham,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
105,2025-03-29,IG4,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
106,2025-03-29,E3,Docklands,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
107,2025-03-29,E9,Hackney-BethnalGreen,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
108,2025-03-29,E8,Hackney-BethnalGreen,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
109,2025-03-30,E1,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes,Pre-Pilot,1,1,1,2025-03
110,2025-03-30,IG6,Ilford-Redbridge,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
111,2025-03-30,RM9,Barking-Dagenham,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
112,2025-03-30,IG4,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
113,2025-03-30,IG11,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
114,2025-03-30,E16,Docklands,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
115,2025-03-31,E3,Docklands,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
116,2025-03-31,E2,Hackney-BethnalGreen,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
117,2025-03-31,E11,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
118,2025-03-31,E7,Stratford-EastHam,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
119,2025-03-31,E16,Docklands,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
120,2025-03-31,E16,Docklands,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
121,2025-03-31,E9,Hackney-BethnalGreen,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-03
122,2025-03-31,E14,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
123,2025-03-31,E11,Stratford-EastHam,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
124,2025-03-31,RM9,Barking-Dagenham,Subscription,Everjoy,Everjoy,18.99,1,18.99,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
125,2025-03-31,E10,Stratford-EastHam,Subscription,Elevate,Elevate,39.75,1,39.75,Evening,Yes,Yes,Pre-Pilot,1,1,1,2025-03
126,2025-03-31,E14,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-03
127,2025-04-01,E16,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
128,2025-04-01,E13,Stratford-EastHam,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
129,2025-04-01,IG3,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-04
130,2025-04-01,E11,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
131,2025-04-01,E6,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-04
132,2025-04-01,E1,Docklands,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
133,2025-04-02,IG6,Ilford-Redbridge,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes,Pre-Pilot,1,1,1,2025-04
134,2025-04-02,E3,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
135,2025-04-02,E10,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
136,2025-04-02,E8,Hackney-BethnalGreen,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
137,2025-04-02,E12,Stratford-EastHam,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
138,2025-04-02,E12,Stratford-EastHam,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
139,2025-04-02,IG1,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
140,2025-04-03,E2,Hackney-BethnalGreen,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes,Pre-Pilot,1,1,1,2025-04
141,2025-04-03,RM6,Barking-Dagenham,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,No,Yes,Pre-Pilot,0,0,0,2025-04
142,2025-04-03,IG6,Ilford-Redbridge,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
143,2025-04-03,E1,Docklands,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
144,2025-04-03,E10,Stratford-EastHam,OneTime,,Immunity Booster Platter,6.65,1,6.65,Evening,Yes,Yes,Pre-Pilot,0,1,1,2025-04
145,2025-04-03,E10,Stratford-EastHam,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,No,Yes,Pre-Pilot,0,0,0,2025-04
146,2025-04-03,E7,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
147,2025-04-03,E8,Hackney-BethnalGreen,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
148,2025-04-03,RM6,Barking-Dagenham,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
149,2025-04-03,E16,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-04
150,2025-04-03,E11,Stratford-EastHam,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Evening,Yes,Yes,Pre-Pilot,0,1,1,2025-04
151,2025-04-03,E2,Hackney-BethnalGreen,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
152,2025-04-04,E3,Docklands,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
153,2025-04-04,E13,Stratford-EastHam,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
154,2025-04-04,E8,Hackney-BethnalGreen,Subscription,Elevate,Elevate,39.75,1,39.75,Evening,Yes,Yes,Pre-Pilot,1,1,1,2025-04
155,2025-04-05,E10,Stratford-EastHam,OneTime,,Gut Health & Digestion Friendly Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
156,2025-04-05,E16,Docklands,Subscription,Elevate,Elevate,39.75,1,39.75,Evening,Yes,Yes,Pre-Pilot,1,1,1,2025-04
157,2025-04-05,E14,Docklands,Subscription,Essence,Essence,32.95,1,32.95,Evening,Yes,Yes,Pre-Pilot,1,1,1,2025-04
158,2025-04-05,IG1,Ilford-Redbridge,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
159,2025-04-05,E8,Hackney-BethnalGreen,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-04
160,2025-04-05,RM6,Barking-Dagenham,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
161,2025-04-05,E12,Stratford-EastHam,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-04
162,2025-04-05,RM6,Barking-Dagenham,OneTime,,Heart-Healthy & Vitality Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
163,2025-04-06,IG6,Ilford-Redbridge,Subscription,Elevate,Elevate,39.75,1,39.75,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-04
164,2025-04-06,RM9,Barking-Dagenham,Subscription,Essence,Essence,32.95,1,32.95,Morning,Yes,Yes,Pre-Pilot,1,0,1,2025-04
165,2025-04-06,IG1,Ilford-Redbridge,OneTime,,Strength & Stamina Platter,6.65,1,6.65,Morning,No,Yes,Pre-Pilot,0,0,0,2025-04
166,2025-04-06,E8,Hackney-BethnalGreen,OneTime,,Glowing Skin & Healthy Hair Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
167,2025-04-06,E14,Docklands,OneTime,,Immunity Booster Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
168,2025-04-06,RM6,Barking-Dagenham,OneTime,,Hydration & Refreshment Platter,6.65,1,6.65,Morning,Yes,Yes,Pre-Pilot,0,0,1,2025-04
